H0_T,,,,,
V [mL],t [s],E [mV],dV/dt [mL/s],T [°C],Point label
1.85,470,222.2,0.006,18.7,
1.8585,471,222.5,0.0065,18.7,
1.867,472,222.8,0.0065,18.7,
1.8755,473,223.1,0.006,18.7,
1.884,474,223.5,0.006,18.7,
1.8925,475,223.8,0.006,18.7,
1.9,476,224,0.006,18.7,
1.9085,477,224.4,0.0065,18.7,
1.917,478,224.7,0.0065,18.7,
1.925,479,225,0.0055,18.7,
1.9335,480,225.3,0.006,18.7,
1.942,481,225.5,0.006,18.7,
1.9495,482,225.8,0.006,18.7,
1.958,483,226.1,0.0065,18.7,
1.9665,484,226.4,0.0065,18.7,
1.975,485,226.7,0.006,18.7,
1.9835,486,227,0.006,18.7,
1.9915,487,227.2,0.0055,18.7,
1.9995,488,227.5,0.006,18.7,
2.0075,489,227.8,0.006,18.7,
2.016,490,228,0.0065,18.7,
2.0245,491,228.3,0.006,18.7,
2.033,492,228.5,0.006,18.7,
2.0415,493,228.8,0.006,18.7,
2.049,494,229.1,0.006,18.7,
2.0575,495,229.3,0.0065,18.7,
2.066,496,229.6,0.0065,18.7,
2.074,497,229.8,0.0055,18.7,
2.0825,498,230,0.006,18.7,
2.091,499,230.3,0.006,18.7,
2.0985,500,230.5,0.006,18.7,
2.107,501,230.7,0.0065,18.7,
2.1155,502,230.9,0.0065,18.7,
2.124,503,231.2,0.006,18.7,
2.1325,504,231.4,0.006,18.7,
2.1405,505,231.7,0.0055,18.7,
2.149,506,231.9,0.0065,18.7,
2.1565,507,232.1,0.006,18.7,
2.165,508,232.3,0.0065,18.7,
2.1735,509,232.5,0.006,18.7,
2.1905,511,232.9,0.006,18.7,
2.198,512,233.2,0.006,18.7,
2.2065,513,233.4,0.0065,18.7,
2.215,514,233.6,0.0065,18.8,
2.223,515,233.8,0.0055,18.7,
2.2315,516,234,0.006,18.8,
2.24,517,234.2,0.006,18.8,
2.2475,518,234.4,0.006,18.8,
2.2505,519,234.6,0.0025,18.8,
2.2515,520,234.7,0.001,18.8,
2.252,521,234.7,0.0005,18.8,
2.253,522,234.8,0.0005,18.8,
2.2545,523,234.8,0.001,18.8,
2.2565,524,234.8,0.0015,18.8,
2.2595,525,234.9,0.0025,18.8,
2.2645,526,234.9,0.004,18.8,
2.271,527,235,0.0045,18.8,
2.271,,235,,,EP
H2_T,,,,,
V [mL],t [s],E [mV],dV/dt [mL/s],T [°C],Point label
2.1805,510,232.7,0.0085,18.9,
0,0,-41.3,NaN,18.6,
0.001,1,-41.7,0.001,18.6,
0.0025,2,-41.7,0.0015,18.6,
0.005,3,-41.8,0.0025,18.6,
0.009,4,-41.7,0.0035,18.6,
0.015,5,-41.3,0.0055,18.6,
0.0235,6,-40.6,0.0075,18.6,
0.032,7,-39.5,0.0075,18.6,
0.0405,8,-38.1,0.0075,18.6,
0.048,9,-36.6,0.0075,18.6,
0.0565,10,-34.8,0.0075,18.6,
0.065,11,-32.8,0.0075,18.6,
0.073,12,-30.6,0.0075,18.6,
0.0815,13,-28.2,0.0075,18.6,
0.09,14,-25.6,0.0075,18.6,
0.0975,15,-23.1,0.007,18.6,
0.106,16,-19.8,0.0075,18.6,
0.1145,17,-16.5,0.0075,18.6,
0.123,18,-13.2,0.0075,18.6,
0.1315,19,-9.8,0.0075,18.6,
0.1395,20,-6.6,0.0075,18.6,
0.1475,21,-4,0.0075,18.6,
0.1555,22,-0.4,0.0075,18.6,
0.164,23,1.2,0.0075,18.6,
0.1725,24,3.2,0.0075,18.6,
0.181,25,4.8,0.0075,18.6,
0.1895,26,6.3,0.0075,18.6,
0.197,27,7.4,0.007,18.6,
0.2055,28,8.7,0.0075,18.6,
0.214,29,10.1,0.0075,18.6,
0.2225,30,11.4,0.0075,18.6,
0.2305,31,12.5,0.0075,18.6,
0.239,32,13.4,0.0085,18.6,
0.2465,33,14.5,0.007,18.6,
0.255,34,15.5,0.0075,18.6,
0.2635,35,16.4,0.0075,18.6,
0.272,36,17.1,0.0075,18.6,
0.2805,37,17.9,0.0075,18.6,
0.289,38,18.7,0.0075,18.6,
0.2965,39,19.4,0.007,18.6,
0.305,40,20.4,0.0075,18.6,
0.313,41,21.2,0.0075,18.6,
0.3215,42,22,0.0075,18.6,
0.33,43,22.9,0.0075,18.6,
0.3385,44,23.6,0.0075,18.6,
0.346,45,24.3,0.007,18.6,
0.3545,46,25,0.0075,18.6,
0.363,47,25.8,0.0075,18.6,
0.3715,48,26.6,0.0075,18.6,
0.3795,49,27.4,0.0075,18.6,
0.388,50,28.2,0.0075,18.6,
0.3955,51,28.9,0.007,18.6,
0.404,52,29.7,0.0075,18.6,
0.4125,53,30.4,0.0075,18.6,
0.421,54,31.1,0.0075,18.6,
0.4295,55,31.8,0.0075,18.6,
0.438,56,32.4,0.0075,18.6,
0.4455,57,33.1,0.007,18.6,
0.454,58,33.8,0.0075,18.6,
0.462,59,34.5,0.0075,18.6,
0.4705,60,35.3,0.0075,18.6,
0.479,61,36,0.0075,18.6,
0.4875,62,36.9,0.0075,18.6,
0.495,63,37.6,0.007,18.6,
0.5035,64,38.3,0.0075,18.6,
0.512,65,39,0.0075,18.6,
0.5205,66,39.7,0.0075,18.6,
0.529,67,40.3,0.0075,18.6,
0.5365,68,40.8,0.0075,18.6,
0.545,69,41.5,0.0075,18.6,
0.553,70,42.3,0.0075,18.6,
0.5615,71,43,0.0075,18.6,
0.57,72,43.7,0.0075,18.6,
0.5785,73,44.3,0.0075,18.6,
0.587,74,44.9,0.0085,18.6,
0.5945,75,45.7,0.007,18.6,
0.603,76,46.5,0.0075,18.6,
0.6115,77,47.2,0.0075,18.6,
0.6195,78,47.9,0.0075,18.6,
0.628,79,48.6,0.0075,18.6,
0.6355,80,49.1,0.0075,18.6,
0.644,81,49.8,0.0075,18.6,
0.6525,82,50.6,0.0075,18.6,
0.661,83,51.3,0.0075,18.6,
0.6695,84,51.8,0.0075,18.6,
0.678,85,52.8,0.0075,18.6,
0.6855,86,53.4,0.0075,18.6,
0.694,87,54,0.0075,18.6,
0.7025,88,54.7,0.0075,18.6,
0.7105,89,55.4,0.0075,18.6,
0.719,90,56.1,0.0075,18.6,
0.7275,91,56.7,0.0075,18.6,
0.735,92,57.5,0.0075,18.6,
0.7435,93,58.3,0.0075,18.7,
0.752,94,59.4,0.0075,18.7,
0.7605,95,60.1,0.0075,18.7,
0.769,96,60.8,0.0075,18.7,
0.777,97,61.5,0.0075,18.7,
0.7855,98,62.1,0.0085,18.6,
0.793,99,62.8,0.007,18.7,
0.8015,100,63.5,0.0075,18.7,
0.81,101,64.5,0.0075,18.7,
0.8185,102,65.4,0.0075,18.7,
0.827,103,66.1,0.0075,18.7,
0.8345,104,66.7,0.0075,18.7,
0.843,105,67.6,0.0075,18.7,
0.8515,106,68.4,0.0075,18.7,
0.8595,107,69.2,0.0075,18.7,
0.868,108,70,0.0075,18.7,
0.8765,109,71.2,0.0075,18.7,
0.884,110,72,0.0075,18.7,
0.8925,111,72.8,0.0075,18.7,
0.901,112,73.6,0.0075,18.7,
0.9095,113,74.4,0.0075,18.7,
0.918,114,75.2,0.0075,18.7,
0.9265,115,76.3,0.0075,18.7,
0.934,116,77.1,0.007,18.7,
0.9425,117,78.1,0.0075,18.7,
0.9505,118,78.9,0.0075,18.7,
0.959,119,79.9,0.0075,18.7,
0.9675,120,81.1,0.0075,18.7,
0.976,121,82.1,0.0075,18.7,
0.9835,122,83.1,0.007,18.7,
0.992,123,84.2,0.0075,18.7,
1.0005,124,85.4,0.0075,18.7,
1.009,125,86.5,0.0075,18.7,
1.017,126,87.9,0.0075,18.7,
1.0255,127,88.9,0.0085,18.7,
1.0335,128,90.2,0.0075,18.7,
1.0415,129,91.7,0.0075,18.7,
1.05,130,92.7,0.0075,18.7,
1.0585,131,94,0.0075,18.7,
1.067,132,95.4,0.0075,18.7,
1.0755,133,97,0.0085,18.7,
1.083,134,99.1,0.007,18.7,
1.0915,135,100.6,0.0075,18.7,
1.1,136,101.8,0.0075,18.7,
1.108,137,103.8,0.0075,18.7,
1.1165,138,106,0.0075,18.7,
1.125,139,108,0.0085,18.7,
1.1325,140,109.8,0.007,18.7,
1.141,141,111.6,0.0075,18.7,
1.1495,142,114,0.0075,18.7,
1.158,143,116.8,0.0075,18.7,
1.1665,144,119.5,0.0075,18.7,
1.174,145,122.1,0.0075,18.7,
1.1825,146,125.1,0.0075,18.7,
1.1905,147,128.1,0.0075,18.7,
1.199,148,131.3,0.0075,18.7,
1.2075,149,134.5,0.0075,18.7,
1.216,150,138,0.0075,18.7,
1.2235,151,141.3,0.0075,18.7,
1.232,152,145.2,0.0075,18.7,
1.2405,153,148.9,0.0075,18.7,
1.249,154,152.1,0.0075,18.7,
1.2575,155,155,0.0075,18.7,
1.2655,156,158.2,0.0075,18.7,
1.2735,157,160.8,0.008,18.7,
1.2815,158,163.4,0.0075,18.7,
1.29,159,165.7,0.0075,18.7,
1.2985,160,168.2,0.0075,18.7,
1.307,161,170.4,0.0075,18.7,
1.3155,162,172.3,0.0075,18.7,
1.324,163,174.2,0.0085,18.7,
1.3315,164,176,0.007,18.7,
1.34,165,177.7,0.0075,18.7,
1.348,166,179.5,0.0075,18.7,
1.3565,167,181.3,0.0075,18.7,
1.365,168,182.7,0.0075,18.7,
1.3735,169,184.2,0.0085,18.7,
1.3795,170,185,0.0065,18.7,
1.3795,410,190.8,0,18.9,
1.38,411,190.8,0.0005,18.9,
1.3815,412,190.8,0.0015,18.9,
1.384,413,190.9,0.003,18.9,
1.388,414,191.1,0.004,18.9,
1.394,415,191.6,0.006,18.9,
1.4025,416,192.4,0.0085,18.9,
1.41,417,193.2,0.0085,18.9,
1.4185,418,194.2,0.0095,18.9,
1.427,419,194.9,0.0095,18.9,
1.4355,420,195.8,0.0085,18.9,
1.4435,421,196.7,0.008,18.9,
1.452,422,197.5,0.0095,18.9,
1.4595,423,198.3,0.0085,18.9,
1.468,424,199.2,0.0095,18.9,
1.4765,425,200.1,0.0095,18.9,
1.485,426,200.8,0.0085,18.9,
1.4935,427,201.5,0.0085,18.9,
1.502,428,202.2,0.0085,18.9,
1.5095,429,202.9,0.0085,18.9,
1.518,430,203.6,0.0095,18.9,
1.526,431,204.3,0.008,18.9,
1.5345,432,205,0.0085,18.9,
1.543,433,205.6,0.0085,18.9,
1.5515,434,206.2,0.0085,18.9,
1.559,435,206.8,0.0085,18.9,
1.5675,436,207.4,0.0095,18.9,
1.576,437,207.9,0.0095,18.9,
1.5845,438,208.5,0.0085,18.9,
1.5925,439,209.1,0.008,18.9,
1.601,440,209.6,0.0095,18.9,
1.6085,441,210.1,0.0085,18.9,
1.617,442,210.7,0.0095,18.9,
1.6255,443,211.2,0.0085,18.9,
1.634,444,211.7,0.0085,18.9,
1.6425,445,212.2,0.0085,18.9,
1.651,446,212.7,0.0085,18.9,
1.6585,447,213.1,0.0085,18.9,
1.667,448,213.6,0.0095,18.9,
1.675,449,214.1,0.008,18.9,
1.6835,450,214.5,0.0085,18.9,
1.692,451,215,0.0085,18.9,
1.7005,452,215.3,0.0095,18.9,
1.708,453,215.8,0.0085,18.9,
1.7165,454,216.2,0.0095,18.9,
1.725,455,216.7,0.0085,18.9,
1.7335,456,217.1,0.0085,18.9,
1.742,457,217.5,0.0085,18.9,
1.7495,458,217.8,0.0085,18.9,
1.758,459,218.3,0.0095,18.9,
1.766,460,218.7,0.009,18.9,
1.7745,461,219.1,0.0085,18.9,
1.783,462,219.4,0.0085,18.9,
1.7915,463,219.8,0.0085,18.9,
1.799,464,220.2,0.0085,18.9,
1.8075,465,220.4,0.0095,18.9,
1.816,466,220.9,0.0095,18.9,
1.8245,467,221.2,0.0085,18.9,
1.833,468,221.5,0.0085,18.9,
1.841,469,221.9,0.008,18.9,
1.849,470,222.1,0.009,18.9,
1.857,471,222.5,0.009,18.9,
1.8655,472,222.8,0.0095,18.9,
1.874,473,223.1,0.0085,18.9,
1.8825,474,223.5,0.0085,18.9,
1.891,475,223.8,0.0085,18.9,
1.8985,476,224.1,0.0085,18.9,
1.907,477,224.3,0.0095,18.9,
1.9155,478,224.6,0.0085,18.9,
1.924,479,224.9,0.0085,18.9,
1.932,480,225.3,0.008,18.9,
1.9405,481,225.5,0.0095,18.9,
1.948,482,225.9,0.0085,18.9,
1.9565,483,226.1,0.0095,18.9,
1.965,484,226.4,0.0085,18.9,
1.9735,485,226.7,0.0085,18.9,
1.982,486,227,0.0085,18.9,
1.9895,487,227.2,0.0085,18.9,
1.998,488,227.5,0.0095,18.9,
2.0065,489,227.8,0.0095,18.9,
2.015,490,228.1,0.0085,18.9,
2.023,491,228.2,0.008,18.9,
2.0315,492,228.6,0.0085,18.9,
2.039,493,228.7,0.0085,18.9,
2.0475,494,229,0.0095,18.9,
2.056,495,229.2,0.0095,18.9,
2.0645,496,229.5,0.0085,18.9,
2.073,497,229.7,0.0085,18.9,
2.0815,498,230,0.0085,18.9,
2.089,499,230.2,0.0085,18.9,
2.0975,500,230.4,0.0095,18.9,
2.1055,501,230.7,0.009,18.9,
2.114,502,231,0.0085,18.9,
2.1225,503,231.2,0.0085,18.9,
2.131,504,231.4,0.0085,18.9,
2.1385,505,231.6,0.0085,18.9,
2.147,506,231.9,0.0095,18.9,
2.1555,507,232.1,0.0095,18.9,
2.164,508,232.3,0.0085,18.9,
2.172,509,232.5,0.008,18.9,
2.188,511,233,0.0085,18.9,
2.1965,512,233.2,0.0095,18.9,
2.205,513,233.4,0.0095,18.9,
2.2135,514,233.6,0.0085,18.9,
2.222,515,233.8,0.0085,18.9,
2.2305,516,234,0.0085,18.9,
2.2375,517,234.2,0.008,18.9,
2.2445,518,234.4,0.008,18.9,
2.2475,519,234.6,0.0035,18.9,
2.248,520,234.6,0.0005,18.9,
2.2485,521,234.7,0.0005,18.9,
2.25,522,234.7,0.0015,18.9,
2.252,523,234.7,0.002,18.9,
2.2545,524,234.8,0.003,18.9,
2.2585,525,234.8,0.0045,18.9,
2.264,526,234.9,0.0055,18.9,
2.268,527,235,0.0055,18.9,
2.268,,235,,,EP
H_3_B,,,,,
V [mL],t [s],E [mV],dV/dt [mL/s],T [°C],Point label
0,0,-18.1,NaN,18.8,
0.001,1,-18.6,0.001,18.8,
0.0025,2,-18.7,0.0015,18.8,
0.005,3,-18.7,0.0025,18.8,
0.009,4,-18.4,0.0035,18.8,
0.015,5,-17.9,0.0055,18.8,
0.0235,6,-16.7,0.0075,18.8,
0.032,7,-14.8,0.0075,18.8,
0.0405,8,-12.4,0.0075,18.8,
0.048,9,-10.2,0.007,18.8,
0.0565,10,-7.3,0.0075,18.8,
0.065,11,-4.3,0.0075,18.8,
0.0735,12,-0.8,0.0075,18.8,
0.0815,13,1,0.0075,18.8,
0.09,14,3.1,0.0075,18.8,
0.0975,15,4.9,0.007,18.8,
0.106,16,6.5,0.0075,18.8,
0.1145,17,8,0.0075,18.8,
0.123,18,9.4,0.0075,18.8,
0.1315,19,10.6,0.0075,18.8,
0.14,20,11.7,0.0075,18.8,
0.1475,21,12.7,0.007,18.8,
0.156,22,13.8,0.0075,18.8,
0.164,23,14.8,0.0075,18.8,
0.1725,24,15.8,0.0075,18.8,
0.181,25,16.6,0.0075,18.8,
0.1895,26,17.3,0.0075,18.8,
0.197,27,18,0.007,18.8,
0.2055,28,18.7,0.0075,18.8,
0.214,29,19.5,0.0075,18.8,
0.2225,30,20.4,0.0075,18.8,
0.231,31,21.3,0.0075,18.8,
0.2395,32,21.9,0.0085,18.8,
0.247,33,22.5,0.007,18.8,
0.2555,34,23.3,0.0075,18.8,
0.2635,35,24,0.0075,18.8,
0.272,36,24.6,0.0075,18.8,
0.2805,37,25.2,0.0075,18.8,
0.289,38,25.8,0.0075,18.8,
0.2965,39,26.5,0.007,18.8,
0.305,40,27.1,0.0075,18.8,
0.3135,41,27.8,0.0075,18.8,
0.322,42,28.4,0.0075,18.8,
0.33,43,29.1,0.0075,18.8,
0.338,44,29.7,0.0075,18.8,
0.346,45,30.5,0.0075,18.8,
0.3545,46,31.3,0.0075,18.8,
0.363,47,31.9,0.0075,18.8,
0.3715,48,32.5,0.0075,18.8,
0.38,49,33.1,0.0075,18.8,
0.3885,50,33.8,0.0075,18.8,
0.396,51,34.3,0.007,18.8,
0.4045,52,35,0.0075,18.8,
0.413,53,35.6,0.0075,18.8,
0.421,54,36.2,0.0075,18.8,
0.4295,55,36.9,0.0075,18.8,
0.438,56,37.5,0.0075,18.8,
0.4455,57,38.3,0.007,18.8,
0.454,58,39.1,0.0075,18.8,
0.4625,59,39.7,0.0075,18.8,
0.471,60,40.4,0.0075,18.8,
0.479,61,41,0.0075,18.8,
0.4875,62,41.5,0.0075,18.8,
0.4955,63,42.1,0.0075,18.8,
0.5035,64,42.7,0.0075,18.8,
0.512,65,43.3,0.0075,18.8,
0.5205,66,44,0.0075,18.8,
0.529,67,44.6,0.0075,18.8,
0.5365,68,45.2,0.007,18.8,
0.545,69,45.9,0.0075,18.8,
0.5535,70,46.5,0.0075,18.8,
0.562,71,47.1,0.0075,18.8,
0.57,72,47.8,0.0075,18.8,
0.5785,73,48.5,0.0075,18.8,
0.586,74,49,0.007,18.8,
0.5945,75,49.6,0.0075,18.8,
0.603,76,50.2,0.0075,18.8,
0.6115,77,50.8,0.0075,18.8,
0.62,78,51.5,0.0075,18.8,
0.6285,79,52.1,0.0075,18.8,
0.636,80,52.7,0.007,18.8,
0.6445,81,53.4,0.0075,18.8,
0.653,82,54,0.0075,18.8,
0.661,83,54.6,0.0075,18.8,
0.6695,84,55.2,0.0075,18.8,
0.678,85,55.9,0.0075,18.8,
0.6855,86,56.3,0.007,18.8,
0.694,87,56.8,0.0075,18.8,
0.7025,88,57.5,0.0075,18.8,
0.711,89,58.1,0.0075,18.8,
0.7195,90,58.9,0.0075,18.8,
0.7275,91,59.7,0.0075,18.8,
0.7355,92,60.5,0.0075,18.8,
0.7435,93,61.3,0.0075,18.8,
0.752,94,62,0.0075,18.8,
0.7605,95,62.6,0.0075,18.8,
0.769,96,63.1,0.0075,18.8,
0.7775,97,63.8,0.0075,18.8,
0.785,98,64.4,0.007,18.8,
0.7935,99,65.2,0.0075,18.8,
0.802,100,65.9,0.0075,18.8,
0.81,101,66.6,0.0075,18.8,
0.8185,102,67.3,0.0075,18.8,
0.827,103,68,0.0085,18.8,
0.8345,104,68.9,0.007,18.8,
0.843,105,69.6,0.0075,18.8,
0.8515,106,70.4,0.0075,18.8,
0.86,107,71.1,0.0075,18.8,
0.8685,108,71.8,0.0075,18.8,
0.876,109,72.7,0.007,18.8,
0.8845,110,73.6,0.0075,18.8,
0.893,111,74.2,0.0075,18.8,
0.9015,112,75,0.0075,18.8,
0.9095,113,75.8,0.0075,18.8,
0.918,114,76.8,0.0075,18.8,
0.9255,115,77.7,0.007,18.8,
0.934,116,78.8,0.0075,18.8,
0.9425,117,79.8,0.0075,18.8,
0.951,118,80.5,0.0075,18.9,
0.9595,119,81.5,0.0075,18.9,
0.968,120,82.3,0.0075,18.9,
0.9755,121,83.2,0.007,18.9,
0.984,122,84.3,0.0075,18.9,
0.992,123,85.3,0.0075,18.9,
1.0005,124,86.2,0.0075,18.8,
1.009,125,87.3,0.0075,18.9,
1.0175,126,88.6,0.0075,18.9,
1.025,127,89.5,0.007,18.9,
1.0335,128,90.9,0.0075,18.9,
1.042,129,92.1,0.0075,18.9,
1.0505,130,93.3,0.0075,18.9,
1.059,131,94.7,0.0075,18.9,
1.067,132,95.9,0.008,18.9,
1.075,133,97.3,0.0075,18.9,
1.083,134,99.1,0.0075,18.9,
1.0915,135,100.4,0.0075,18.9,
1.1,136,102,0.0075,18.9,
1.1085,137,103.8,0.0075,18.9,
1.116,138,105.1,0.007,18.9,
1.1245,139,107,0.0075,18.9,
1.133,140,109,0.0075,18.9,
1.1415,141,111.4,0.0075,18.9,
1.1495,142,113.6,0.0075,18.9,
1.158,143,115.9,0.0075,18.9,
1.1655,144,117.9,0.007,18.9,
1.174,145,120.6,0.0075,18.9,
1.1825,146,123.5,0.0075,18.9,
1.191,147,126.2,0.0075,18.9,
1.1995,148,129.1,0.0075,18.9,
1.208,149,132.2,0.0075,18.9,
1.2155,150,135.4,0.007,18.9,
1.224,151,138.7,0.0075,18.9,
1.2325,152,142.2,0.0075,18.9,
1.2405,153,145.8,0.0075,18.9,
1.249,154,149.1,0.0075,18.9,
1.2575,155,152.3,0.0075,18.9,
1.265,156,155.1,0.007,18.9,
1.2735,157,158.2,0.0075,18.9,
1.282,158,161.1,0.0075,18.9,
1.2905,159,163.4,0.0075,18.9,
1.299,160,166,0.0075,18.9,
1.307,161,168.3,0.0075,18.9,
1.315,162,170.3,0.0075,18.9,
1.323,163,172.4,0.0075,18.9,
1.3315,164,174.3,0.0075,18.9,
1.34,165,176.1,0.0075,18.9,
1.3485,166,178,0.0075,18.9,
1.357,167,179.8,0.0075,18.9,
1.3645,168,181.2,0.007,18.9,
1.373,169,182.7,0.0075,18.9,
1.3815,170,184.1,0.0075,18.9,
1.3885,171,185,0.007,18.9,
1.3885,411,190.7,0,19,
1.389,412,190.7,0.0005,19,
1.3905,413,190.7,0.0015,19,
1.393,414,190.8,0.0025,19,
1.397,415,191.1,0.0035,19,
1.403,416,191.5,0.005,19,
1.4115,417,192.3,0.007,19,
1.419,418,193.1,0.007,19,
1.4275,419,194.1,0.007,19,
1.436,420,195,0.007,19,
1.4445,421,195.9,0.007,19,
1.4525,422,196.7,0.0065,19,
1.461,423,197.5,0.007,19,
1.4685,424,198.3,0.007,19,
1.477,425,199.1,0.0075,19,
1.4855,426,199.9,0.0075,19,
1.494,427,200.7,0.007,19,
1.5025,428,201.5,0.007,19,
1.511,429,202.2,0.007,19,
1.5185,430,202.8,0.007,19,
1.5265,431,203.4,0.0075,19,
1.535,432,204,0.0075,19,
1.5435,433,204.8,0.007,19,
1.552,434,205.5,0.007,19,
1.5605,435,206.1,0.007,19,
1.568,436,206.8,0.007,19,
1.5765,437,207.4,0.0075,19,
1.585,438,207.9,0.0075,19,
1.5935,439,208.5,0.007,19,
1.6015,440,209.1,0.0065,19,
1.61,441,209.6,0.007,19,
1.6175,442,210.1,0.007,19,
1.626,443,210.6,0.0075,19,
1.6345,444,211.2,0.0075,19.1,
1.643,445,211.6,0.007,19,
1.6515,446,212.2,0.007,19,
1.66,447,212.6,0.007,19.1,
1.6675,448,213.1,0.007,19,
1.676,449,213.6,0.0075,19,
1.684,450,213.9,0.0075,19.1,
1.6925,451,214.5,0.007,19.1,
1.701,452,214.9,0.007,19,
1.7095,453,215.3,0.007,19.1,
1.717,454,215.7,0.007,19,
1.7255,455,216.1,0.0075,19.1,
1.734,456,216.6,0.0075,19.1,
1.7425,457,217,0.007,19.1,
1.7505,458,217.4,0.0065,19.1,
1.759,459,217.9,0.007,19.1,
1.7665,460,218.2,0.007,19.1,
1.775,461,218.6,0.0075,19.1,
1.7835,462,218.9,0.0075,19.1,
1.792,463,219.3,0.007,19.1,
1.8005,464,219.7,0.007,19.1,
1.809,465,220.1,0.007,19.1,
1.8165,466,220.4,0.007,19.1,
1.825,467,220.7,0.0075,19.1,
1.833,468,221.1,0.0075,19.1,
1.8415,469,221.5,0.007,19.1,
1.85,470,221.8,0.007,19.1,
1.8585,471,222.1,0.007,19.1,
1.866,472,222.4,0.007,19.1,
1.8745,473,222.7,0.0075,19.1,
1.883,474,223.1,0.007,19.1,
1.8915,475,223.4,0.007,19.1,
1.9,476,223.6,0.007,19.1,
1.908,477,223.9,0.0075,19.1,
1.916,478,224.2,0.0075,19.1,
1.924,479,224.6,0.0075,19.1,
1.9325,480,224.9,0.007,19.1,
1.941,481,225.2,0.007,19.1,
1.9495,482,225.5,0.007,19.1,
1.958,483,225.8,0.0075,19.1,
1.9655,484,226,0.007,19.1,
1.974,485,226.3,0.0075,19.1,
1.9825,486,226.6,0.007,19.1,
1.991,487,226.9,0.007,19.1,
1.999,488,227.2,0.0065,19.1,
2.007,489,227.4,0.0075,19.1,
2.015,490,227.6,0.0075,19.1,
2.0235,491,228,0.0075,19.1,
2.032,492,228.3,0.007,19.1,
2.0405,493,228.5,0.007,19.1,
2.049,494,228.8,0.007,19.1,
2.0565,495,229,0.007,19.1,
2.065,496,229.2,0.0075,19.1,
2.0735,497,229.5,0.0075,19.1,
2.082,498,229.8,0.007,19.1,
2.09,499,230,0.0065,19.1,
2.0985,500,230.2,0.007,19.1,
2.106,501,230.4,0.007,19.1,
2.1145,502,230.7,0.0075,19.1,
2.123,503,230.8,0.007,19.1,
2.1315,504,231.1,0.007,19.1,
2.14,505,231.4,0.007,19.1,
2.1485,506,231.6,0.007,19.1,
2.156,507,231.9,0.007,19.1,
2.1645,508,232,0.0075,19.1,
2.1725,509,232.3,0.0065,19.1,
2.181,510,232.5,0.007,19.1,
2.1895,511,232.7,0.007,19.1,
2.198,512,232.9,0.0075,19.1,
2.2055,513,233.1,0.007,19.1,
2.214,514,233.3,0.0075,19.1,
2.2225,515,233.5,0.007,19.1,
2.231,516,233.8,0.007,19.1,
2.2395,517,233.9,0.007,19.1,
2.2475,518,234.2,0.0075,19.1,
2.2535,519,234.3,0.0055,19.1,
2.2575,520,234.4,0.0035,19.1,
2.2595,521,234.6,0.0015,19.1,
2.2615,522,234.6,0.0015,19.1,
2.2635,523,234.7,0.0015,19.1,
2.266,524,234.8,0.0025,19.1,
2.2685,525,234.8,0.0025,19.1,
2.273,526,234.9,0.004,19.1,
2.2795,527,235,0.0045,19.1,
2.2795,,235,,,EP
H3_T,,,,,
V [mL],t [s],E [mV],dV/dt [mL/s],T [°C],Point label
0,0,-19.1,NaN,19,
0.0005,1,-19.5,0.0005,19,
0.0025,2,-19.5,0.002,19,
0.005,3,-19.6,0.0025,19,
0.0085,4,-19.3,0.003,19,
0.015,5,-18.6,0.006,19,
0.023,6,-17.5,0.0075,19,
0.0315,7,-15.7,0.0085,19,
0.039,8,-13.4,0.0075,19,
0.0475,9,-10.9,0.0075,19,
0.056,10,-8.1,0.0075,19,
0.0645,11,-5.3,0.0075,19,
0.073,12,-2.2,0.0075,19,
0.0805,13,0,0.0075,19,
0.089,14,2.3,0.0085,19,
0.097,15,4.4,0.0075,19,
0.1055,16,6.1,0.0075,19,
0.114,17,7.5,0.0075,19,
0.1225,18,8.9,0.0075,19,
0.13,19,10.3,0.0075,19,
0.1385,20,11.7,0.0085,19,
0.147,21,12.8,0.0075,19,
0.1555,22,13.8,0.0075,19,
0.164,23,14.8,0.0075,19,
0.172,24,15.7,0.0075,19,
0.18,25,16.4,0.008,19,
0.188,26,17.2,0.008,19,
0.1965,27,18,0.0075,19,
0.205,28,18.8,0.0075,19,
0.2135,29,19.8,0.0075,19,
0.222,30,20.6,0.0075,19,
0.2295,31,21.2,0.0075,19,
0.238,32,21.9,0.0085,19,
0.2465,33,22.6,0.0075,19,
0.2545,34,23.4,0.0075,19,
0.263,35,24.1,0.0075,19,
0.2715,36,24.7,0.0085,19,
0.279,37,25.5,0.0075,19,
0.2875,38,26.2,0.0085,19,
0.296,39,27,0.0075,19,
0.3045,40,27.7,0.0075,19,
0.313,41,28.4,0.0075,19,
0.3215,42,28.9,0.0085,19,
0.329,43,29.6,0.0075,19,
0.3375,44,30.3,0.0085,19,
0.346,45,31,0.0075,19,
0.354,46,31.7,0.0075,19,
0.3625,47,32.3,0.0075,19,
0.37,48,32.8,0.0075,19,
0.3785,49,33.5,0.0085,19,
0.387,50,34,0.0075,19,
0.3955,51,34.7,0.0075,19,
0.404,52,35.4,0.0075,19,
0.4125,53,36.1,0.0075,19,
0.42,54,36.7,0.0075,19,
0.4285,55,37.4,0.0085,19,
0.4365,56,38,0.0075,19,
0.445,57,38.7,0.0075,19,
0.4535,58,39.4,0.0075,19,
0.462,59,40.1,0.0075,19,
